barrio,Con muertos,Atropello,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
Santa Rosa de Lima,0.0,5.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,4
Santa Teresita,0.0,23.0,1.0,1.0,131.0,32.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,1
Santo Domingo Savio No.1,0.0,192.0,0.0,0.0,35.0,115.0,0.0,0.0,0.0,0.0,0.0,423.0,0.0,1.0,1
Santo Domingo Savio No. 2,0.0,53.0,0.0,0.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,4
Sevilla,3.0,150.0,2.0,70.0,302.0,158.0,0.0,0.0,0.0,0.0,0.0,985.0,0.0,2.0,2
Simón Bolívar,0.0,28.0,3.0,20.0,202.0,25.0,0.0,1.0,0.0,0.0,0.0,293.0,0.0,0.0,1
Sin Nombre,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4
Sin Inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4
Suburbano Aguas Frias,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4
Suburbano Altavista,0.0,7.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,4
Suburbano El Llano,1.0,2.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,4
Suburbano El Plan,0.0,4.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4
